Cement,Sand,Water,Hours,Bacteria,Fiber,Area
600,1200,170,396,2,1,0.3785714
600,1200,170,408,2,1,0.3742857
600,1200,170,420,2,1,0.37
600,1200,170,432,2,1,0.3657143
600,1200,170,444,2,1,0.3614286
600,1200,170,456,2,1,0.3571429
600,1200,170,468,2,1,0.3528571
600,1200,170,480,2,1,0.3485714
600,1200,170,492,2,1,0.3442857
600,1200,170,504,2,1,0.34
600,1200,170,516,2,1,0.3392857
600,1200,170,528,2,1,0.3385714
600,1200,170,540,2,1,0.3378571
600,1200,170,552,2,1,0.3371429
600,1200,170,564,2,1,0.3364286
600,1200,170,576,2,1,0.3357143
600,1200,170,588,2,1,0.33500
600,1200,170,600,2,1,0.3342857
600,1200,170,612,2,1,0.3335714
600,1200,170,624,2,1,0.3328571
600,1200,170,636,2,1,0.3321429
600,1200,170,648,2,1,0.3314286
600,1200,170,660,2,1,0.3307143
600,1200,170,672,2,1,0.33
600,1200,170,0,2,2,0
600,1200,170,12,2,2,0.0311905
600,1200,170,24,2,2,0.062381
600,1200,170,36,2,2,0.0935715
600,1200,170,48,2,2,0.1247619
600,1200,170,60,2,2,0.1559524
600,1200,170,72,2,2,0.1871429
600,1200,170,84,2,2,0.2183334
600,1200,170,96,2,2,0.2495238
600,1200,170,108,2,2,0.2807143
600,1200,170,120,2,2,0.3119048
600,1200,170,132,2,2,0.3430953
600,1200,170,144,2,2,0.3742858
600,1200,170,156,2,2,0.4054763
600,1200,170,168,2,2,0.4366667
600,1200,170,180,2,2,0.4366667
600,1200,170,192,2,2,0.4366667
600,1200,170,204,2,2,0.4366667
600,1200,170,216,2,2,0.4366667
600,1200,170,228,2,2,0.4366667
600,1200,170,240,2,2,0.4366667
600,1200,170,252,2,2,0.4366667
600,1200,170,264,2,2,0.4366667
600,1200,170,276,2,2,0.4366667
600,1200,170,288,2,2,0.4366667
600,1200,170,300,2,2,0.4366667
600,1200,170,312,2,2,0.4366667
600,1200,170,324,2,2,0.4366667
600,1200,170,336,2,2,0.4366667
600,1200,170,348,2,2,0.4321429
600,1200,170,360,2,2,0.4276191
600,1200,170,372,2,2,0.4230952
600,1200,170,384,2,2,0.4185714
600,1200,170,396,2,2,0.4140476
600,1200,170,408,2,2,0.4095238
600,1200,170,420,2,2,0.40500
600,1200,170,432,2,2,0.4004762
600,1200,170,444,2,2,0.3959524
600,1200,170,456,2,2,0.3914286
600,1200,170,468,2,2,0.3869048
600,1200,170,480,2,2,0.3823809
600,1200,170,492,2,2,0.3778571
600,1200,170,504,2,2,0.3733333
600,1200,170,516,2,2,0.3771428
600,1200,170,528,2,2,0.3809523
600,1200,170,540,2,2,0.3847618
600,1200,170,552,2,2,0.3885714
600,1200,170,564,2,2,0.3923809
600,1200,170,576,2,2,0.3961905
600,1200,170,588,2,2,0.4
600,1200,170,600,2,2,0.4038095
600,1200,170,612,2,2,0.4076191
600,1200,170,624,2,2,0.4114286
600,1200,170,636,2,2,0.4152382
600,1200,170,648,2,2,0.4190477
600,1200,170,660,2,2,0.4228572
600,1200,170,672,2,2,0.4266667
600,1200,170,0,2,3,0
600,1200,170,12,2,3,0.0395238
600,1200,170,24,2,3,0.0790476
600,1200,170,36,2,3,0.1185714
600,1200,170,48,2,3,0.1580952
600,1200,170,60,2,3,0.197619
600,1200,170,72,2,3,0.2371428
600,1200,170,84,2,3,0.2766666
600,1200,170,96,2,3,0.3161905
600,1200,170,108,2,3,0.3557143
600,1200,170,120,2,3,0.3952381
600,1200,170,132,2,3,0.4347619
600,1200,170,144,2,3,0.4742857
600,1200,170,156,2,3,0.5138095
600,1200,170,168,2,3,0.5533333
600,1200,170,180,2,3,0.5547618
600,1200,170,192,2,3,0.5561904
600,1200,170,204,2,3,0.557619
600,1200,170,216,2,3,0.5590476
600,1200,170,228,2,3,0.5604762
600,1200,170,240,2,3,0.5619047
600,1200,170,252,2,3,0.5633333
600,1200,170,264,2,3,0.5647618
600,1200,170,276,2,3,0.5661904
600,1200,170,288,2,3,0.567619
600,1200,170,300,2,3,0.5690476
600,1200,170,312,2,3,0.5704762
600,1200,170,324,2,3,0.5719048
600,1200,170,336,2,3,0.5733333
600,1200,170,348,2,3,0.5769048
600,1200,170,360,2,3,0.5804762
600,1200,170,372,2,3,0.5840476
600,1200,170,384,2,3,0.587619
600,1200,170,396,2,3,0.5911904
600,1200,170,408,2,3,0.5947618
600,1200,170,420,2,3,0.5983333
600,1200,170,432,2,3,0.6019047
600,1200,170,444,2,3,0.6054762
600,1200,170,456,2,3,0.6090476
600,1200,170,468,2,3,0.612619
600,1200,170,480,2,3,0.6161904
600,1200,170,492,2,3,0.6197618
600,1200,170,504,2,3,0.6233333
600,1200,170,516,2,3,0.6249999
600,1200,170,528,2,3,0.6266666
600,1200,170,540,2,3,0.6283333
600,1200,170,552,2,3,0.63
600,1200,170,564,2,3,0.6316666
600,1200,170,576,2,3,0.6333333
600,1200,170,588,2,3,0.63500
600,1200,170,600,2,3,0.6366667
600,1200,170,612,2,3,0.6383334
600,1200,170,624,2,3,0.64
600,1200,170,636,2,3,0.6416667
600,1200,170,648,2,3,0.6433334
600,1200,170,660,2,3,0.6450001
600,1200,170,672,2,3,0.6466667
